ts	phase	decision	why	evidence	result
2026-08-19T15:55:00Z	frame	routed this to figure-it-out, not Feature or Orchestrate	this is an ambitious multi-part product-area change; Orchestrate ceremony is for a known unit queue we do not have yet	poteto-mode/SKILL.md playbook routing; figure-it-out/SKILL.md	open
2026-08-19T15:56:00Z	frame	ground with how Critique over analytics before writing a plan or code	existing grid, dashboard, map, and share work is half-baked; we need a traced model before redesign	opla-frontend/apps/studio/src/components/analytics/; opla-backend/app/models/analytics.py	open
2026-08-19T16:02:00Z	frame	kept dashboard and domain explorer notes on disk; did not synthesize yet	how Critique waits for all four slices (grid and maps still running)	.audit/analytics-overhaul/explorer-dashboards.md; explorer-domain.md	open
2026-08-19T16:03:00Z	frame	all four how-slices complete; explainer synthesizing	grid is a display-only HyperFormula table; maps are a disconnected Leaflet demo; sharing is org-membership plus localStorage	.audit/analytics-overhaul/explorer-grid.md; explorer-maps.md	open
2026-08-19T16:06:00Z	frame	explainer done; four critics spawned before plan or code	how Critique requires independent architectural pressure before we pick a target shape	.audit/analytics-overhaul/how-explanation.md	open
2026-08-19T16:15:00Z	frame	lead verdict: keep Analysis vs Reports vocab; stop Prep-as-forms; one query path; maps on the question contract	four critics agreed on those structural faults; Syncfusion and a merged Report nav were dismissed	.audit/analytics-overhaul/critique-verdict.md; canvases/analytics-review.canvas.tsx	open
2026-08-19T16:37:00Z	arena	base is grok (28). composer 22, luna 20, gemini 10	one-way doors are types, not comments; parent and opus judge agreed	.audit/analytics-overhaul/arena-domain/candidate-grok/; arena-domain/synthesized/rationale.md	keep
2026-08-19T16:38:00Z	arena	graft composer migration, luna MetricAlias plus geo split, gemini options/recordCount	reject snapshot, walker viz, helper zoo, upload table, dual formula+expr	.audit/analytics-overhaul/arena-domain/synthesized/	keep
2026-08-19T16:39:00Z	arena	synthesized types verify against rubric and design-red-flags	map point still FieldKey until saveQuestion; scatter pairing still soft	.audit/analytics-overhaul/arena-domain/synthesized/verify.md	keep
2026-08-19T16:40:00Z	workflow	ten landable units, package plus execute_query first, nav and Walker after scaffold	do not mix with form-runtime WIP; branch analysis-domain from main	.audit/analytics-overhaul/workflow.md	open
2026-08-19T17:20:00Z	unit-1	scaffolded @opla/analytics-domain on analysis-domain branch	parse rejects walker and mixed rows+summary; v1 QuickChart upgrades to Query v2; truncated summary cannot commit	opla-frontend/packages/analytics-domain/	keep
2026-08-19T18:10:00Z	unit-2	execute_plan maps Query v2 onto execute_query; Studio re-queries stored v2	stringify UUIDs from pydantic dump; DashboardViewer and hub pins send the saved query, not v1 group_by leftovers	opla-backend/app/services/analytics_service.py; opla-frontend/apps/studio/src/components/analytics/queryUtils.ts	keep
2026-08-19T18:12:00Z	unit-3	Project Data → Analysis mounts the hub with projectId; Datasets Analyze goes to that project	org Analysis is a project picker, not a hub with undefined projectId	opla-frontend/apps/studio/src/pages/ProjectWorkspace.tsx; StudioLayout.tsx; DatasetsTab.tsx	keep
2026-08-19T18:13:00Z	unit-4	Walker compute lives under org membership; frontend hits the org-scoped route	HTTP errors from the service, not 200+success false	opla-backend/app/api/routes/walker_compute.py; opla-frontend/apps/studio/src/lib/api.ts	keep
2026-08-19T18:14:00Z	unit-5	saveView is a linked FormDataset on the parent form; snapshot refused	PrepTable only saves live views; unique form_id dropped in 032	opla-backend/app/services/analytics_service.py; alembic/versions/032_analysis_views.py; PrepTable.tsx	keep
2026-08-19T18:15:00Z	unit-6	Chart save is Query v2 via create_question; Explore cannot persist walker; builder preview hits execute_query	deleted the stub New Question composer that minted walker/markdown	WalkerAnalysisLab.tsx; QuickChart.tsx; DashboardCanvas.tsx	keep
2026-08-19T18:16:00Z	unit-7	Org Reports persist through OrgReportService; localStorage buckets gone	ReportsPortfolio and ReportBoard are async against /analytics/reports	org_report_service.py; reportBuckets.ts	keep
2026-08-19T18:17:00Z	unit-8	Map tool plots live GPS cells; Accra SpatialAnalysisLab deleted	AnalysisMap queries the selected geo field	AnalysisMap.tsx	keep
2026-08-19T18:18:00Z	unit-9	Hub pins stay max 4; pin list is chart/kpi/table/map only	walker/markdown already rejected at create	project_pinned_analytics_service.py; ProjectHub.tsx	keep
2026-08-19T18:19:00Z	unit-10	deferred OrgReports.runQuestion approved-only	report canvas stores blocks; there is no separate runQuestion API yet	.audit/analytics-overhaul/workflow.md	defer

